id,workload,iteration,metric,core,freq,value,units
a15_17_1,dhrystone,1,A15c_power,A15,1704000,0.215,Watts
a15_17_1,dhrystone,1,A15c_voltage,A15,1704000,0.924,Volts
a15_17_1,dhrystone,1,A15c_energy,A15,1704000,129.275,Joules
a15_17_1,dhrystone,1,A15b_power,A15,1704000,0.151,Watts
a15_17_1,dhrystone,1,A15b_voltage,A15,1704000,0.924,Volts
a15_17_1,dhrystone,1,A15b_energy,A15,1704000,90.653,Joules
a15_17_1,dhrystone,1,A15a_power,A15,1704000,0.203,Watts
a15_17_1,dhrystone,1,A15a_voltage,A15,1704000,0.924,Volts
a15_17_1,dhrystone,1,A15a_energy,A15,1704000,121.663,Joules
a15_18_1,dhrystone,1,thread 0 score,A15,1800000,3184713,
a15_18_1,dhrystone,1,thread 0 DMIPS,A15,1800000,1813,
a15_18_1,dhrystone,1,time,A15,1800000,4.831653,seconds
a15_18_1,dhrystone,1,total DMIPS,A15,1800000,1813,
a15_18_1,dhrystone,1,total score,A15,1800000,3184713,
a15_18_1,dhrystone,1,execution_time,A15,1800000,4.89551496506,seconds
a15_18_1,dhrystone,1,A7_power,A15,1800000,0.022,Watts
a15_18_1,dhrystone,1,A7_voltage,A15,1800000,0.767,Volts
a15_18_1,dhrystone,1,A7_energy,A15,1800000,13.353,Joules
a15_18_1,dhrystone,1,A15c_power,A15,1800000,0.23,Watts
a15_18_1,dhrystone,1,A15c_voltage,A15,1800000,0.949,Volts
a15_18_1,dhrystone,1,A15c_energy,A15,1800000,138.082,Joules
a15_18_1,dhrystone,1,A15b_power,A15,1800000,0.184,Watts
a15_18_1,dhrystone,1,A15b_voltage,A15,1800000,0.949,Volts
a15_18_1,dhrystone,1,A15b_energy,A15,1800000,110.104,Joules
a15_18_1,dhrystone,1,A15a_power,A15,1800000,0.232,Watts
a15_18_1,dhrystone,1,A15a_voltage,A15,1800000,0.949,Volts
a15_18_1,dhrystone,1,A15a_energy,A15,1800000,139.43,Joules
a15_19_1,dhrystone,1,thread 0 score,A15,1896000,3424658,
a15_19_1,dhrystone,1,thread 0 DMIPS,A15,1896000,1949,
a15_19_1,dhrystone,1,time,A15,1896000,4.481414,seconds
a15_19_1,dhrystone,1,total DMIPS,A15,1896000,1949,
a15_19_1,dhrystone,1,total score,A15,1896000,3424658,
a15_19_1,dhrystone,1,execution_time,A15,1896000,4.53522610664,seconds
a15_19_1,dhrystone,1,A7_power,A15,1896000,0.019,Watts
a15_19_1,dhrystone,1,A7_voltage,A15,1896000,0.767,Volts
a15_19_1,dhrystone,1,A7_energy,A15,1896000,10.183,Joules
a15_19_1,dhrystone,1,A15c_power,A15,1896000,0.252,Watts
a15_19_1,dhrystone,1,A15c_voltage,A15,1896000,0.993,Volts
a15_19_1,dhrystone,1,A15c_energy,A15,1896000,138.472,Joules
a15_19_1,dhrystone,1,A15b_power,A15,1896000,0.238,Watts
a15_19_1,dhrystone,1,A15b_voltage,A15,1896000,0.993,Volts
a15_19_1,dhrystone,1,A15b_energy,A15,1896000,130.817,Joules
