id,workload,iteration,metric,core,freq,value,units
a15_15_1,dhrystone,1,time,A15,1500000,2.108193,seconds
a15_15_1,dhrystone,1,total DMIPS,A15,1500000,1375,
a15_15_1,dhrystone,1,total score,A15,1500000,2415459,
a15_15_1,dhrystone,1,execution_time,A15,1500000,2.2088599205,seconds
a15_15_1,dhrystone,1,A7_power,A15,1500000,0.509,Watts
a15_15_1,dhrystone,1,A7_voltage,A15,1500000,1.035,Volts
a15_15_1,dhrystone,1,A7_energy,A15,1500000,152.645,Joules
a15_15_1,dhrystone,1,A15b_power,A15,1500000,0.481,Watts
a15_15_1,dhrystone,1,A15b_voltage,A15,1500000,1.035,Volts
a15_15_1,dhrystone,1,A15b_energy,A15,1500000,144.392,Joules
a15_15_1,dhrystone,1,A15a_power,A15,1500000,0.111,Watts
a15_15_1,dhrystone,1,A15a_voltage,A15,1500000,1.062,Volts
a15_15_1,dhrystone,1,A15a_energy,A15,1500000,33.181,Joules
a15_16_1,dhrystone,1,thread 0 score,A15,1600000,2583979,
a15_16_1,dhrystone,1,thread 0 DMIPS,A15,1600000,1471,
a15_16_1,dhrystone,1,time,A15,1600000,1.978279,seconds
a15_16_1,dhrystone,1,total DMIPS,A15,1600000,1471,
a15_16_1,dhrystone,1,total score,A15,1600000,2583979,
a15_16_1,dhrystone,1,execution_time,A15,1600000,2.06114721298,seconds
a15_16_1,dhrystone,1,A7_power,A15,1600000,0.599,Watts
a15_16_1,dhrystone,1,A7_voltage,A15,1600000,1.073,Volts
a15_16_1,dhrystone,1,A7_energy,A15,1600000,179.664,Joules
a15_16_1,dhrystone,1,A15b_power,A15,1600000,0.568,Watts
a15_16_1,dhrystone,1,A15b_voltage,A15,1600000,1.073,Volts
a15_16_1,dhrystone,1,A15b_energy,A15,1600000,170.397,Joules
a15_16_1,dhrystone,1,A15a_power,A15,1600000,0.114,Watts
a15_16_1,dhrystone,1,A15a_voltage,A15,1600000,1.062,Volts
a15_16_1,dhrystone,1,A15a_energy,A15,1600000,34.125,Joules
a15_17_1,dhrystone,1,thread 0 score,A15,1700000,2732240,
a15_17_1,dhrystone,1,thread 0 DMIPS,A15,1700000,1555,
a15_17_1,dhrystone,1,time,A15,1700000,1.839591,seconds
a15_17_1,dhrystone,1,total DMIPS,A15,1700000,1555,
a15_17_1,dhrystone,1,total score,A15,1700000,2732240,
a15_17_1,dhrystone,1,execution_time,A15,1700000,1.91580200195,seconds
a15_17_1,dhrystone,1,A7_power,A15,1700000,0.694,Watts
a15_17_1,dhrystone,1,A7_voltage,A15,1700000,1.112,Volts
a15_17_1,dhrystone,1,A7_energy,A15,1700000,208.119,Joules
a15_17_1,dhrystone,1,A15b_power,A15,1700000,0.657,Watts
a15_17_1,dhrystone,1,A15b_voltage,A15,1700000,1.112,Volts
a15_17_1,dhrystone,1,A15b_energy,A15,1700000,197.146,Joules
a15_17_1,dhrystone,1,A15a_power,A15,1700000,0.124,Watts
a15_17_1,dhrystone,1,A15a_voltage,A15,1700000,1.062,Volts
a15_17_1,dhrystone,1,A15a_energy,A15,1700000,37.264,Joules
a15_18_1,dhrystone,1,thread 0 score,A15,1800000,2898551,
a15_18_1,dhrystone,1,thread 0 DMIPS,A15,1800000,1650,
a15_18_1,dhrystone,1,time,A15,1800000,1.734634,seconds
a15_18_1,dhrystone,1,total DMIPS,A15,1800000,1650,
a15_18_1,dhrystone,1,total score,A15,1800000,2898551,
a15_18_1,dhrystone,1,execution_time,A15,1800000,1.81605482101,seconds
a15_18_1,dhrystone,1,A7_power,A15,1800000,0.796,Watts
a15_18_1,dhrystone,1,A7_voltage,A15,1800000,1.15,Volts
a15_18_1,dhrystone,1,A7_energy,A15,1800000,199.047,Joules
a15_18_1,dhrystone,1,A15b_power,A15,1800000,0.765,Watts
a15_18_1,dhrystone,1,A15b_voltage,A15,1800000,1.15,Volts
a15_18_1,dhrystone,1,A15b_energy,A15,1800000,191.198,Joules
a15_18_1,dhrystone,1,A15a_power,A15,1800000,0.112,Watts
a15_18_1,dhrystone,1,A15a_voltage,A15,1800000,1.063,Volts
a15_18_1,dhrystone,1,A15a_energy,A15,1800000,28.1,Joules
a15_19_1,dhrystone,1,thread 0 score,A15,1900000,2577320,
a15_19_1,dhrystone,1,thread 0 DMIPS,A15,1900000,1467,
a15_19_1,dhrystone,1,time,A15,1900000,1.981298,seconds
a15_19_1,dhrystone,1,total DMIPS,A15,1900000,1467,
a15_19_1,dhrystone,1,total score,A15,1900000,2577320,
a15_19_1,dhrystone,1,execution_time,A15,1900000,2.04954695702,seconds
a15_19_1,dhrystone,1,A7_power,A15,1900000,0.617,Watts
a15_19_1,dhrystone,1,A7_voltage,A15,1900000,1.074,Volts
a15_19_1,dhrystone,1,A7_energy,A15,1900000,185.178,Joules
a15_19_1,dhrystone,1,A15b_power,A15,1900000,0.584,Watts
a15_19_1,dhrystone,1,A15b_voltage,A15,1900000,1.074,Volts
a15_19_1,dhrystone,1,A15b_energy,A15,1900000,175.127,Joules
a15_19_1,dhrystone,1,A15a_power,A15,1900000,0.124,Watts
a15_19_1,dhrystone,1,A15a_voltage,A15,1900000,1.062,Volts
a15_19_1,dhrystone,1,A15a_energy,A15,1900000,37.111,Joules
a7_5_1,dhrystone,1,thread 0 score,A7,500000,492854,
a7_5_1,dhrystone,1,thread 0 DMIPS,A7,500000,281,
a7_5_1,dhrystone,1,time,A7,500000,10.256704,seconds
a7_5_1,dhrystone,1,total DMIPS,A7,500000,281,
a7_5_1,dhrystone,1,total score,A7,500000,492854,
a7_5_1,dhrystone,1,execution_time,A7,500000,25.0617029667,seconds
a7_5_1,dhrystone,1,A7_power,A7,500000,0.007,Watts
a7_5_1,dhrystone,1,A7_voltage,A7,500000,1.079,Volts
a7_5_1,dhrystone,1,A7_energy,A7,500000,18.882,Joules
a7_5_1,dhrystone,1,A15b_power,A7,500000,0.009,Watts
a7_5_1,dhrystone,1,A15b_voltage,A7,500000,1.079,Volts
a7_5_1,dhrystone,1,A15b_energy,A7,500000,24.505,Joules
a7_5_1,dhrystone,1,A15a_power,A7,500000,0.052,Watts
a7_5_1,dhrystone,1,A15a_voltage,A7,500000,0.905,Volts
a7_5_1,dhrystone,1,A15a_energy,A7,500000,147.473,Joules
a7_6_1,dhrystone,1,thread 0 score,A7,600000,582751,
a7_6_1,dhrystone,1,thread 0 DMIPS,A7,600000,332,
a7_6_1,dhrystone,1,time,A7,600000,8.714256,seconds
a7_6_1,dhrystone,1,total DMIPS,A7,600000,332,
a7_6_1,dhrystone,1,total score,A7,600000,582751,
a7_6_1,dhrystone,1,execution_time,A7,600000,35.8779189587,seconds
a7_6_1,dhrystone,1,A7_power,A7,600000,0.006,Watts
a7_6_1,dhrystone,1,A7_voltage,A7,600000,1.08,Volts
a7_6_1,dhrystone,1,A7_energy,A7,600000,23.481,Joules
a7_6_1,dhrystone,1,A15b_power,A7,600000,0.008,Watts
a7_6_1,dhrystone,1,A15b_voltage,A7,600000,1.08,Volts
a7_6_1,dhrystone,1,A15b_energy,A7,600000,33.806,Joules
a7_6_1,dhrystone,1,A15a_power,A7,600000,0.054,Watts
a7_6_1,dhrystone,1,A15a_voltage,A7,600000,0.907,Volts
a7_6_1,dhrystone,1,A15a_energy,A7,600000,219.837,Joules
a7_7_1,dhrystone,1,thread 0 score,A7,700000,694927,
a7_7_1,dhrystone,1,thread 0 DMIPS,A7,700000,396,
a7_7_1,dhrystone,1,time,A7,700000,7.286867,seconds
a7_7_1,dhrystone,1,total DMIPS,A7,700000,396,
a7_7_1,dhrystone,1,total score,A7,700000,694927,
a7_7_1,dhrystone,1,execution_time,A7,700000,19.2950680256,seconds
a7_7_1,dhrystone,1,A7_power,A7,700000,0.006,Watts
a7_7_1,dhrystone,1,A7_voltage,A7,700000,1.078,Volts
a7_7_1,dhrystone,1,A7_energy,A7,700000,12.574,Joules
a7_7_1,dhrystone,1,A15b_power,A7,700000,0.008,Watts
a7_7_1,dhrystone,1,A15b_voltage,A7,700000,1.078,Volts
a7_7_1,dhrystone,1,A15b_energy,A7,700000,17.16,Joules
a7_7_1,dhrystone,1,A15a_power,A7,700000,0.076,Watts
a7_7_1,dhrystone,1,A15a_voltage,A7,700000,0.941,Volts
a7_7_1,dhrystone,1,A15a_energy,A7,700000,163.818,Joules
a7_8_1,dhrystone,1,thread 0 score,A7,800000,798722,
a7_8_1,dhrystone,1,thread 0 DMIPS,A7,800000,455,
a7_8_1,dhrystone,1,time,A7,800000,6.313284,seconds
a7_8_1,dhrystone,1,total DMIPS,A7,800000,455,
a7_8_1,dhrystone,1,total score,A7,800000,798722,
a7_8_1,dhrystone,1,execution_time,A7,800000,13.8935492039,seconds
a7_8_1,dhrystone,1,A7_power,A7,800000,0.006,Watts
a7_8_1,dhrystone,1,A7_voltage,A7,800000,1.079,Volts
a7_8_1,dhrystone,1,A7_energy,A7,800000,9.409,Joules
a7_8_1,dhrystone,1,A15b_power,A7,800000,0.007,Watts
a7_8_1,dhrystone,1,A15b_voltage,A7,800000,1.079,Volts
a7_8_1,dhrystone,1,A15b_energy,A7,800000,11.733,Joules
a7_8_1,dhrystone,1,A15a_power,A7,800000,0.099,Watts
a7_8_1,dhrystone,1,A15a_voltage,A7,800000,0.981,Volts
a7_8_1,dhrystone,1,A15a_energy,A7,800000,158.224,Joules
a7_9_1,dhrystone,1,thread 0 score,A7,900000,900901,
a7_9_1,dhrystone,1,thread 0 DMIPS,A7,900000,513,
a7_9_1,dhrystone,1,time,A7,900000,5.595976,seconds
a7_9_1,dhrystone,1,total DMIPS,A7,900000,513,
a7_9_1,dhrystone,1,total score,A7,900000,900901,
a7_9_1,dhrystone,1,execution_time,A7,900000,11.6891520023,seconds
a7_9_1,dhrystone,1,A7_power,A7,900000,0.005,Watts
a7_9_1,dhrystone,1,A7_voltage,A7,900000,1.08,Volts
a7_9_1,dhrystone,1,A7_energy,A7,900000,7.41,Joules
a7_9_1,dhrystone,1,A15b_power,A7,900000,0.008,Watts
a7_9_1,dhrystone,1,A15b_voltage,A7,900000,1.08,Volts
a7_9_1,dhrystone,1,A15b_energy,A7,900000,11.302,Joules
a7_9_1,dhrystone,1,A15a_power,A7,900000,0.121,Watts
a7_9_1,dhrystone,1,A15a_voltage,A7,900000,1.02,Volts
a7_9_1,dhrystone,1,A15a_energy,A7,900000,163.636,Joules
a7_10_1,dhrystone,1,thread 0 score,A7,1000000,1006036,
a7_10_1,dhrystone,1,thread 0 DMIPS,A7,1000000,573,
a7_10_1,dhrystone,1,time,A7,1000000,5.019269,seconds
a7_10_1,dhrystone,1,total DMIPS,A7,1000000,573,
a7_10_1,dhrystone,1,total score,A7,1000000,1006036,
a7_10_1,dhrystone,1,execution_time,A7,1000000,9.63808917999,seconds
a7_10_1,dhrystone,1,A7_power,A7,1000000,0.006,Watts
